aX,aY,aZ,gX,gY,gZ
-0.110,0.090,3.400,-38.208,-50.781,89.905
-0.167,0.211,3.590,-22.095,-29.297,97.168
-0.270,0.401,3.773,-4.211,-5.615,104.492
-0.288,0.615,3.883,11.475,19.958,110.229
-0.629,0.895,3.893,29.846,47.729,113.525
-0.700,1.230,3.947,51.025,73.181,111.572
-0.794,1.476,3.975,52.551,97.961,106.384
-0.963,1.683,3.954,47.180,122.864,96.985
-1.020,1.906,3.893,40.527,148.315,84.045
-1.146,2.051,3.853,28.137,173.035,67.627
-1.328,2.075,3.761,15.991,198.792,46.692
-1.474,1.920,3.632,6.287,225.037,23.315
-1.628,1.708,3.574,2.136,249.756,1.282
-1.771,1.478,3.396,6.897,277.710,-17.700
-1.941,1.136,3.075,13.611,307.373,-34.546
-2.114,0.826,2.740,18.860,334.717,-47.058
-2.253,0.475,2.292,38.879,361.023,-56.763
-2.360,0.026,1.833,62.744,383.118,-61.707
-2.422,-0.381,1.435,76.355,398.743,-58.289
-2.423,-0.652,1.097,91.309,409.912,-47.058
-2.433,-0.758,0.790,104.675,417.664,-29.236
-2.427,-0.693,0.542,108.643,421.021,-8.057
-2.437,-0.351,0.399,104.492,420.471,13.000
-2.424,0.059,0.016,104.004,421.997,28.198
-2.397,0.351,-0.489,112.122,421.570,32.593
-2.325,0.520,-0.973,124.207,411.682,30.579
-2.153,0.595,-1.594,125.854,395.569,27.771
-1.973,0.721,-2.144,99.915,369.263,27.527
-1.736,0.889,-2.533,72.021,331.604,24.292
-1.469,1.052,-2.786,43.518,285.645,17.090
-1.236,1.206,-2.870,10.925,236.389,7.141
-1.026,1.501,-2.633,-25.757,183.533,-4.211
-0.827,1.861,-2.142,-61.218,133.972,-20.447
-0.717,2.140,-1.542,-91.858,94.543,-44.373
-0.688,2.348,-0.982,-115.479,67.505,-75.684
-0.784,2.661,-0.435,-122.314,52.002,-113.464
-0.915,2.651,-0.608,-86.365,54.443,-163.208
-1.177,2.361,-1.175,-27.100,61.279,-220.886
-1.414,1.882,-1.554,-1.221,49.988,-269.775
-1.533,1.049,-1.905,-5.859,27.283,-309.998
-1.597,0.010,-2.065,-34.241,-4.700,-336.853
-1.648,-0.987,-1.982,-67.200,-44.861,-344.788
-1.494,-1.735,-1.741,-98.145,-87.891,-333.496
-1.260,-2.408,-1.307,-117.737,-128.723,-310.608
-0.958,-3.247,-0.887,-113.220,-161.926,-282.837
-0.603,-3.973,-0.394,-124.329,-188.660,-240.540
-0.261,-4.000,0.058,-122.559,-205.566,-188.477
0.029,-4.000,0.577,-106.812,-214.783,-125.732
0.261,-4.000,1.097,-87.708,-215.088,-50.049
0.357,-4.000,1.567,-75.867,-205.933,37.170
0.261,-4.000,1.764,-69.397,-187.622,124.512
0.078,-3.777,1.572,-78.064,-163.330,201.843
-0.166,-2.762,1.302,-84.778,-141.846,258.423
-0.350,-1.942,1.078,-83.313,-125.854,296.387
-0.498,-1.351,0.980,-66.345,-114.807,319.214
-0.646,-0.970,1.000,-35.522,-107.727,329.773
-0.590,-0.622,1.091,8.301,-103.943,333.679
-0.566,-0.240,1.464,53.406,-104.065,335.754
-0.548,0.282,1.906,76.233,-102.051,339.111
-0.510,0.966,2.178,70.374,-92.529,342.590
-0.455,1.949,2.226,37.781,-76.782,343.567
-0.327,2.946,2.075,13.306,-57.617,330.811
-0.179,3.657,1.858,10.010,-40.283,298.340
-0.084,4.000,1.637,12.207,-27.832,251.770
0.030,4.000,1.467,5.920,-20.325,199.524
0.084,4.000,1.416,2.014,-16.174,143.433
0.117,4.000,1.426,17.212,-13.245,81.421
0.115,4.000,1.430,28.870,-10.437,15.320
0.006,4.000,1.369,21.912,-7.629,-49.438
-0.176,4.000,1.169,8.728,-5.798,-110.046
-0.397,3.794,0.961,0.671,-6.409,-164.795
-0.678,3.470,0.844,-1.465,-11.169,-216.431
-1.034,3.165,0.737,-2.869,-17.456,-264.954
-1.453,3.059,0.618,-8.118,-24.841,-309.753
