aX,aY,aZ,gX,gY,gZ
-0.313,-0.302,1.010,-0.244,3.601,4.822
-0.309,-0.306,1.015,-0.977,4.517,4.822
-0.303,-0.326,1.016,-1.099,5.737,4.333
-0.302,-0.357,1.016,-0.793,6.653,4.333
-0.304,-0.407,1.006,-1.526,8.179,4.761
-0.306,-0.446,1.002,-2.441,9.338,6.226
-0.316,-0.461,1.004,-2.747,10.132,8.545
-0.323,-0.452,1.000,-1.160,11.414,11.169
-0.326,-0.453,1.012,2.136,12.329,13.184
-0.329,-0.478,1.068,6.836,12.817,14.526
-0.322,-0.524,1.157,11.658,14.160,15.869
-0.310,-0.613,1.291,16.541,16.663,18.066
-0.324,-0.710,1.440,18.372,20.691,21.851
-0.349,-0.761,1.482,16.907,28.015,27.710
-0.388,-0.799,1.393,13.855,36.987,34.424
-0.435,-0.839,1.298,13.062,43.762,41.138
-0.486,-0.868,1.220,12.329,48.218,48.218
-0.519,-0.886,1.104,9.583,51.575,56.274
-0.537,-0.904,1.023,4.761,52.429,64.514
-0.546,-0.948,1.004,-0.244,51.514,72.815
-0.564,-0.973,0.987,-5.920,50.598,81.238
-0.568,-0.967,0.929,-10.559,50.415,89.905
-0.562,-0.941,0.909,-11.230,49.500,98.022
-0.550,-0.919,0.929,-7.935,48.096,105.164
-0.521,-0.947,0.949,-4.883,47.485,111.572
-0.494,-1.017,0.979,-2.747,47.791,118.103
-0.484,-1.103,1.022,-1.648,48.523,125.610
-0.531,-1.132,0.966,-0.427,51.575,134.644
-0.528,-1.066,0.785,2.808,55.359,144.897

0.185,0.133,2.417,-44.861,-186.462,-18.433
0.199,-0.220,2.860,-55.298,-180.298,-29.724
0.196,-0.542,3.197,-70.251,-168.335,-35.034
0.201,-0.794,3.442,-82.764,-152.466,-35.217
0.190,-0.996,3.703,-84.534,-135.071,-32.471
0.192,-1.198,3.996,-77.454,-116.272,-28.137
0.210,-1.490,4.000,-60.120,-93.445,-22.644
0.181,-1.849,4.000,-31.799,-66.101,-14.648
0.113,-2.215,4.000,5.676,-32.471,-2.502
0.011,-2.456,4.000,48.340,6.165,16.479
-0.147,-2.603,4.000,86.487,46.997,41.870
-0.332,-2.509,4.000,110.291,87.769,73.120
-0.699,-2.190,4.000,123.169,127.563,106.506
-0.855,-1.787,4.000,124.207,164.307,135.986
-1.144,-1.540,4.000,113.586,197.388,159.119
-1.437,-1.326,4.000,101.135,228.455,178.223
-1.729,-1.099,3.887,94.604,257.019,194.336
-2.000,-0.812,3.328,90.820,281.799,207.886
-2.208,-0.516,2.735,84.106,301.270,217.957
-2.321,-0.216,2.165,80.383,314.392,223.389
-2.386,0.043,1.684,83.679,321.228,224.365
-2.369,0.230,1.227,90.698,323.547,221.436
-2.303,0.330,0.836,100.403,321.106,215.942
-2.244,0.423,0.547,113.708,314.819,209.412
-2.145,0.496,0.205,127.686,307.190,202.942
-2.015,0.619,-0.171,128.723,296.936,198.547
-1.895,0.775,-0.533,120.972,282.410,193.970
-1.744,0.975,-0.827,112.427,263.611,187.256
-1.563,1.157,-1.024,114.075,242.126,175.415
-1.373,1.314,-1.102,123.596,218.201,159.790
-1.194,1.410,-1.077,131.348,193.481,142.090
-1.063,1.484,-1.105,125.244,171.509,125.610
-0.979,1.631,-1.264,100.159,152.527,112.000
-0.895,1.867,-1.535,71.472,134.094,97.961
-0.871,2.097,-1.789,50.659,112.366,79.468
-0.858,2.323,-2.023,30.334,86.426,56.763
-0.899,2.555,-2.165,10.010,55.969,29.968
-0.893,2.806,-2.139,0.000,22.034,-2.014
