aX,aY,aZ,gX,gY,gZ
-0.324,0.212,0.931,5.859,1.221,-0.427
-0.324,0.245,0.957,4.578,0.671,-1.038
-0.324,0.261,0.923,2.991,1.038,-1.709
-0.328,0.204,0.866,3.113,1.038,-3.540
-0.328,0.135,0.849,3.784,-0.244,-5.066
-0.322,0.099,0.874,2.991,-2.136,-4.761
-0.306,0.100,0.929,1.831,-3.723,-3.540
-0.291,0.128,1.001,1.465,-4.395,-2.625
-0.286,0.173,1.042,2.380,-3.723,-2.319
-0.294,0.167,0.999,3.906,-1.648,-3.174
-0.302,0.119,0.955,5.188,-0.427,-4.395
-0.305,0.090,0.947,5.737,-0.549,-4.395
-0.301,0.095,0.956,5.249,-1.160,-3.418
-0.299,0.121,0.980,3.845,-1.526,-2.441
-0.300,0.160,1.000,1.465,-1.709,-1.831
-0.293,0.156,0.989,-1.099,-1.221,-1.709
-0.305,0.101,0.971,-3.052,-1.099,-2.319
-0.308,0.079,0.968,-4.578,-1.282,-1.770
-0.307,0.083,0.959,-5.859,-1.526,-0.916
-0.309,0.094,0.961,-5.859,-1.953,-0.183
-0.305,0.092,0.975,-3.540,-2.380,-0.244
-0.294,0.079,1.006,0.916,-2.502,-0.366
-0.290,0.069,1.028,4.822,-1.953,-0.122
-0.294,0.095,1.028,6.165,-0.916,0.916
-0.295,0.138,1.017,5.249,-0.061,2.197
-0.298,0.148,1.005,4.517,0.305,2.563
-0.303,0.140,1.007,3.723,0.793,2.380
-0.306,0.150,0.995,2.869,1.282,2.625
-0.310,0.178,0.987,1.404,1.587,2.930
-0.307,0.202,1.000,-0.122,1.587,2.747
-0.303,0.206,1.021,-0.793,1.709,2.075
-0.301,0.199,1.039,-1.526,2.258,1.404
-0.310,0.204,1.051,-1.221,3.235,0.916
-0.312,0.184,0.994,0.916,5.310,-0.183
-0.322,0.147,0.940,2.563,5.920,-1.099
-0.327,0.126,0.908,0.671,5.066,-0.916
-0.329,0.146,0.886,-2.625,3.662,0.122
-0.327,0.191,0.870,-5.676,2.136,0.977
-0.323,0.216,0.854,-6.958,0.854,0.427
-0.319,0.197,0.859,-6.592,-0.793,-0.671
-0.304,0.160,0.895,-3.723,-2.625,-1.770
-0.299,0.116,0.960,-0.671,-3.906,-2.441
-0.292,0.090,1.000,1.038,-3.784,-2.075
-0.293,0.073,1.016,2.991,-2.625,-1.404
-0.290,0.058,1.024,5.066,-1.343,-0.854
-0.292,0.060,1.036,5.981,-0.366,0.366
-0.295,0.099,1.031,5.432,0.732,2.075
-0.298,0.166,1.010,5.310,1.953,3.113
-0.309,0.206,0.974,5.737,2.686,3.052
-0.319,0.213,0.939,4.700,2.686,2.380
-0.327,0.201,0.910,3.296,2.380,1.404
-0.326,0.204,0.912,1.343,1.282,0.793
-0.320,0.189,0.922,0.610,0.122,0.000
-0.316,0.161,0.954,1.526,-0.610,-0.916

-0.451,0.432,1.943,-31.189,20.142,8.728
-0.422,0.552,2.081,-36.072,26.794,8.606
-0.388,0.659,2.220,-35.828,35.095,5.920
-0.342,0.714,2.334,-31.738,45.471,1.221
-0.302,0.691,2.396,-26.733,57.983,-4.517
-0.268,0.616,2.385,-26.123,71.228,-9.888
-0.241,0.531,2.294,-28.931,84.351,-13.977
-0.222,0.446,2.119,-31.555,96.191,-16.907
-0.197,0.348,1.900,-34.424,105.530,-18.738
-0.175,0.226,1.685,-37.537,111.694,-19.348
-0.140,0.106,1.517,-38.391,114.685,-18.250
-0.092,0.033,1.395,-34.668,115.479,-15.930
-0.044,0.002,1.334,-30.212,114.624,-12.573
0.008,-0.025,1.364,-27.405,112.610,-8.850
0.057,-0.027,1.427,-25.879,112.000,-4.639
0.081,0.006,1.475,-27.161,113.098,-0.122
0.095,0.080,1.497,-30.518,115.601,4.761
0.112,0.154,1.451,-32.166,118.958,8.545
0.120,0.211,1.384,-30.762,122.314,10.864
0.130,0.267,1.294,-29.602,125.000,12.329
0.137,0.306,1.199,-28.870,126.526,13.245
0.142,0.348,1.103,-28.503,127.197,13.672
0.146,0.382,0.990,-28.076,127.319,13.855
0.152,0.361,0.929,-29.053,125.610,13.428
0.151,0.258,0.888,-30.884,122.986,12.817
0.161,0.117,0.829,-33.020,120.422,13.794
0.156,0.032,0.760,-38.452,117.737,17.761
0.166,0.052,0.695,-44.800,114.746,23.865
0.182,0.133,0.634,-43.274,112.305,29.053
0.167,0.228,0.576,-39.856,109.985,33.142
0.104,0.304,0.544,-42.480,106.995,36.560
0.033,0.415,0.529,-45.776,103.882,39.368
-0.031,0.587,0.528,-42.969,101.318,40.771
-0.110,0.765,0.533,-39.246,99.365,40.283
-0.188,0.945,0.552,-38.147,97.900,37.598
-0.240,1.121,0.567,-30.151,97.595,31.677
-0.282,1.276,0.577,-15.198,98.511,22.522
-0.340,1.364,0.563,-1.953,100.281,11.047
