aX,aY,aZ,gX,gY,gZ
-0.968,-0.365,0.128,-0.366,0.000,8.911
-0.969,-0.279,0.122,-1.343,-0.305,8.789
-0.968,-0.274,0.148,0.610,-1.221,6.226
-0.959,-0.323,0.180,2.563,-1.709,2.991
-0.945,-0.380,0.201,4.028,-1.282,1.160
-0.935,-0.436,0.209,5.127,-0.366,0.183
-0.940,-0.474,0.205,5.798,0.793,0.366
-0.930,-0.469,0.198,4.639,1.709,1.648
-0.930,-0.452,0.206,4.395,2.136,2.686
-0.925,-0.420,0.213,3.967,2.869,3.235
-0.923,-0.417,0.207,4.333,3.845,3.662
-0.922,-0.440,0.176,3.784,5.127,3.601
-0.918,-0.465,0.142,2.197,5.737,4.150
-0.917,-0.475,0.129,1.221,5.493,5.066
-0.920,-0.464,0.138,0.977,4.822,6.104
-0.917,-0.417,0.140,-0.366,4.700,7.202
-0.925,-0.377,0.122,0.366,5.005,7.507
-0.927,-0.353,0.097,1.465,4.944,6.836
-0.931,-0.348,0.074,2.197,4.395,5.615
-0.925,-0.341,0.068,2.014,3.357,4.761
-0.919,-0.342,0.079,2.136,2.258,3.784
-0.919,-0.358,0.095,3.113,1.343,2.441
-0.918,-0.372,0.111,3.235,0.854,1.709
-0.916,-0.364,0.115,3.967,0.732,1.160
-0.919,-0.353,0.114,4.456,0.916,0.610
-0.926,-0.376,0.104,4.883,0.916,-0.305
-0.928,-0.404,0.086,4.944,0.671,-1.038
-0.931,-0.411,0.074,4.395,-0.183,-1.221
-0.930,-0.402,0.070,4.028,-1.160,-1.099
-0.926,-0.389,0.086,3.540,-2.014,-1.038
-0.927,-0.393,0.112,4.211,-2.991,-1.160
-0.925,-0.421,0.126,4.517,-3.479,-1.282
-0.922,-0.447,0.142,3.662,-3.601,-1.282

-1.341,-1.241,0.609,20.935,13.367,10.010
-1.400,-1.480,0.703,20.691,17.944,19.531
-1.456,-1.659,0.768,17.273,23.987,33.020
-1.542,-1.871,0.808,18.555,31.189,48.279
-1.613,-2.028,0.819,16.785,39.063,66.711
-1.668,-2.214,0.810,18.860,47.241,86.060
-1.708,-2.462,0.800,26.123,54.504,106.140
-1.719,-2.699,0.788,28.442,61.279,130.005
-1.740,-2.859,0.761,27.100,67.627,158.386
-1.798,-2.908,0.718,26.978,73.425,190.369
-1.866,-2.799,0.627,26.550,78.674,223.206
-1.926,-2.587,0.515,24.597,82.458,253.845
-1.965,-2.407,0.413,28.381,84.473,279.846
-1.980,-2.388,0.353,41.260,83.984,299.866
-2.018,-2.536,0.316,56.763,81.543,317.627
-2.069,-2.637,0.251,68.237,78.308,338.440
-2.150,-2.589,0.186,79.773,73.608,362.366
-2.243,-2.441,0.157,92.468,66.895,386.230
-2.338,-2.209,0.177,103.638,58.167,408.447
-2.418,-1.886,0.245,111.084,49.011,428.772
-2.439,-1.445,0.330,116.577,40.955,444.946
-2.409,-0.954,0.416,124.451,35.278,454.956
-2.442,-0.509,0.481,133.301,32.593,457.336
-2.178,-0.271,0.390,142.883,32.349,452.698
-2.028,0.207,0.304,149.780,33.081,446.594
-1.890,0.620,0.183,162.415,31.738,433.167
-1.578,0.925,0.038,177.673,28.809,410.400
-1.329,1.027,-0.007,188.660,22.095,382.202
-1.139,0.996,-0.027,196.289,14.526,351.929
-0.963,0.928,-0.055,194.580,7.996,324.707
-0.814,0.808,-0.111,197.205,2.747,299.988
-0.722,0.750,-0.151,203.979,-2.502,279.663
-0.661,0.724,-0.173,215.576,-8.728,262.451
-0.623,0.782,-0.151,224.731,-16.541,248.352
-0.608,0.894,-0.094,230.774,-24.841,235.046
-0.611,1.098,-0.032,235.046,-32.959,220.276
-0.545,1.474,0.014,232.117,-40.344,204.529
-0.468,2.015,0.107,228.333,-46.936,183.716
-0.356,2.598,0.253,228.271,-51.514,154.907
