aX,aY,aZ,gX,gY,gZ
-1.171,0.156,-1.101,77.454,260.376,76.721
-1.066,0.058,-1.337,89.661,237.915,70.984
-0.945,0.056,-1.450,92.529,210.937,69.336
-0.812,0.042,-1.540,90.027,183.472,68.298
-0.656,-0.101,-1.506,83.313,154.724,66.467
-0.567,-0.270,-1.354,72.449,126.404,66.833
-0.474,-0.286,-1.272,55.298,102.783,71.594
-0.415,-0.196,-1.261,33.386,81.970,77.698
-0.370,-0.098,-1.257,15.869,61.890,80.933
-0.331,-0.014,-1.242,7.629,43.030,80.383
-0.285,0.045,-1.206,6.836,25.330,76.965
-0.224,0.009,-1.117,8.972,8.118,72.083
-0.166,-0.129,-0.955,11.292,-7.690,67.261
-0.086,-0.366,-0.774,12.817,-21.667,64.575
-0.023,-0.671,-0.617,12.634,-32.532,65.308
0.018,-0.993,-0.570,11.841,-40.710,71.045
0.040,-1.285,-0.612,15.015,-47.485,81.787
0.051,-1.459,-0.587,21.606,-56.030,97.778
0.074,-1.457,-0.478,31.250,-66.101,117.554
0.130,-1.308,-0.309,44.983,-74.890,137.390
